"File","Category","ActualAccess","IntendedRole","Gap","Evidence"
"vendor\TCPDF-6.7.4\fonts\dejavusanscondensedbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusanscondensedi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansextralight.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansmono.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansmonob.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansmonobi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavusansmonoi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserif.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifcondensed.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifcondensedb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifcondensedbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifcondensedi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\dejavuserifi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freemono.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freemonob.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freemonobi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freemonoi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freesans.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freesansb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freesansbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freesansi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freeserif.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freeserifb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freeserifbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\freeserifi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\helvetica.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\helveticab.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\helveticabi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\helveticai.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\hysmyeongjostdmedium.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\kozgopromedium.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\kozminproregular.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\msungstdlight.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfacourier.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfacourierb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfacourierbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfacourieri.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfahelvetica.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfahelveticab.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfahelveticabi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfahelveticai.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfasymbol.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfatimes.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfatimesb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfatimesbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfatimesi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\pdfazapfdingbats.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\stsongstdlight.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\symbol.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\times.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\timesb.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\timesbi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\timesi.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\uni2cid_ac15.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\uni2cid_ag15.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\uni2cid_aj16.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\uni2cid_ak12.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\fonts\zapfdingbats.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\barcodes\datamatrix.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\barcodes\pdf417.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\barcodes\qrcode.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_colors.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_filters.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_font_data.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_fonts.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_images.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\include\tcpdf_static.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf_autoconfig.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf_barcodes_1d.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf_barcodes_2d.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf_import.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tcpdf_parser.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
"vendor\TCPDF-6.7.4\tools\tcpdf_addfont.php","Vendor","Shared library (vendor)","Vendor library","","vendor include file"
